contract,token_id,ethscription_number,ethscription_id,attributes
0xbb072e55fab66931779ab833ce101c3565649453,19,173740,0x4308aafa7ecc2e85375179ffc60834280b230bf9820e81bad19fcb74e5c1e93d,"[{""trait_type"":""colour"",""value"":""black""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,18,166012,0x41da4d605ff3ea896d926b94e9176638b2923e0e9be76b704b2f9f8620e06014,"[{""trait_type"":""colour"",""value"":""purple""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,17,165738,0x20706f780d6bf0524f5b84d6863e6214b9174eb431f4d845e92a97344666c2e9,"[{""trait_type"":""colour"",""value"":""pink""},{""trait_type"":""blocks"",""value"":""5""}]"
0xbb072e55fab66931779ab833ce101c3565649453,16,165673,0x8ae77100e49dd6c4af19b01b08347fcc8b8589b3fa4201cc662e8e17bebdb43e,"[{""trait_type"":""colour"",""value"":""grey""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,15,165436,0xb318a8e2a68897485821f62f76e495dbec92f899a677c045eb8df72f2e3c970a,"[{""trait_type"":""colour"",""value"":""black""},{""trait_type"":""blocks"",""value"":""5""}]"
0xbb072e55fab66931779ab833ce101c3565649453,14,165362,0xdf649d1f3ebb63ef322a4b69dda733c12ac663461bf4f09a6932e0fd45e4b6c2,"[{""trait_type"":""colour"",""value"":""black""},{""trait_type"":""blocks"",""value"":""3""}]"
0xbb072e55fab66931779ab833ce101c3565649453,13,158150,0x6e023b016c1a0f3af3cc6c30d04530d89397c14e8a2d0d67c9e433d8642dc8a9,"[{""trait_type"":""colour"",""value"":""black""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,12,156538,0x226767b077ded181bdf5651214ab626f629545a5210fafce75988ba9f04a5320,"[{""trait_type"":""colour"",""value"":""pink""},{""trait_type"":""blocks"",""value"":""2""}]"
0xbb072e55fab66931779ab833ce101c3565649453,11,156082,0xe4d9dcb433652102c1a75bfcadf7a8578f25884b6351d75d0595c1ca112b256d,"[{""trait_type"":""colour"",""value"":""pink""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,10,156053,0x9c7a4b6fafb3e4331d8962c278064584b67db4664d30751da424d8afbbe8ba64,"[{""trait_type"":""colour"",""value"":""purple""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,9,144748,0x007446c5e1add3645e872c9715cc74d4dd0f405cd2af9e4d78c1e55cfa44b59f,"[{""trait_type"":""colour"",""value"":""grey""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,8,144529,0xdda97f2aca5122303a635c3020bbec7fa356acae0ea39a93b550d9a506816440,"[{""trait_type"":""colour"",""value"":""purple""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,7,144508,0xa6dffb89653ab8f54aca978908f6ffde0fc433eb408870d1cd2b8d839500a83b,"[{""trait_type"":""colour"",""value"":""pink""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,6,16544,0xefe81485a851a000f759268c87bf50c4618ed4fc92a15cce3bab31c9f0a4b9a2,"[{""trait_type"":""colour"",""value"":""pink""},{""trait_type"":""blocks"",""value"":""8""}]"
0xbb072e55fab66931779ab833ce101c3565649453,5,16494,0xbbc7e90cadf5bb9dfcc115b91b6bc9142239e0112ca1507cc3d1d8197a5ad348,"[{""trait_type"":""colour"",""value"":""purple""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,4,10753,0x089bb503a97b46092bbf8a265da4004cf8eae6e0ccb198a5576bf7c713fe4e43,"[{""trait_type"":""colour"",""value"":""grey""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,3,10711,0x124c0db1e981d92b1d8491d8a3bd980d03e7faa9c2668339ffc6265cc24fae2d,"[{""trait_type"":""colour"",""value"":""grey""},{""trait_type"":""blocks"",""value"":""4""}]"
0xbb072e55fab66931779ab833ce101c3565649453,2,10613,0x0615b5ee1860d909f1d283c7541e57057ca080111c7ad0ebe3f624b7c6a9fb96,"[{""trait_type"":""colour"",""value"":""black""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,1,10596,0x4115bc1a03021f809252c2af31e3b200b09bc57025294a694cf7fd537d3dbe78,"[{""trait_type"":""colour"",""value"":""purple""},{""trait_type"":""blocks"",""value"":""6""}]"
0xbb072e55fab66931779ab833ce101c3565649453,0,15,0x178908ffbe11187dc3cc9bc29583d0639ee6879175640fa7d6929d478eeb536e,"[{""trait_type"":""colour"",""value"":""grey""},{""trait_type"":""blocks"",""value"":""4""}]"
