token_id,ethscription_number,ethscription_id,attributes
119,3778251,0xe01a32f44d108f4497b749656115c48a48a8f3f4c03c499f769a7e070c5bb353,"[{""trait_type"":""Class"",""value"":""Noble (Female)""},{""trait_type"":""Aura"",""value"":""Chaos""},{""trait_type"":""Outfit"",""value"":""Cloth""},{""trait_type"":""Proficiency"",""value"":""Magic""},{""trait_type"":""Combat Style"",""value"":""Methodical""},{""trait_type"":""Acquired"",""value"":""Relics""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00119-3778251""}]"
118,3740102,0x9572dac97f2d9ec232803b470057231746714236ab108b2e9b61647ea9ba539c,"[{""trait_type"":""Class"",""value"":""Warrior (Male)""},{""trait_type"":""Aura"",""value"":""Valor""},{""trait_type"":""Outfit"",""value"":""Halfplate""},{""trait_type"":""Proficiency"",""value"":""Maces""},{""trait_type"":""Combat Style"",""value"":""Methodical""},{""trait_type"":""Acquired"",""value"":""Relics""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00118-3740102""}]"
117,3790828,0x7f784cc14a4d75f856b24b6c807b06bf23c29ea09fe23f4e77ad886ea5421485,"[{""trait_type"":""Class"",""value"":""Rogue (Male)""},{""trait_type"":""Aura"",""value"":""Cardinal""},{""trait_type"":""Outfit"",""value"":""Leather""},{""trait_type"":""Proficiency"",""value"":""Magic""},{""trait_type"":""Combat Style"",""value"":""Aggressive""},{""trait_type"":""Acquired"",""value"":""Bloodgems""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00117-3790828""}]"
116,3734715,0x5fa01273681551006337c1265cfda6d0527bff5ea2c186fb07bfa6af707c2668,"[{""trait_type"":""Class"",""value"":""Mage (Male)""},{""trait_type"":""Aura"",""value"":""Flow""},{""trait_type"":""Outfit"",""value"":""Fullplate""},{""trait_type"":""Proficiency"",""value"":""Maces""},{""trait_type"":""Combat Style"",""value"":""Tactical""},{""trait_type"":""Acquired"",""value"":""Coinage""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00116-3734715""}]"
115,3734530,0xa981dd8acd8bf68f3901584ac7927314b2d83701fa471224def633b21da149a9,"[{""trait_type"":""Class"",""value"":""Rogue (Female)""},{""trait_type"":""Aura"",""value"":""Valor""},{""trait_type"":""Outfit"",""value"":""Cloth""},{""trait_type"":""Proficiency"",""value"":""Daggers""},{""trait_type"":""Combat Style"",""value"":""Graceful""},{""trait_type"":""Acquired"",""value"":""Relics""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00115-3734530""}]"
114,3734333,0x0ddc55efe13e9ff92fa01e240a0cbf2dd3e131bba2458e07d0838d7bc0c2a29a,"[{""trait_type"":""Class"",""value"":""Champion (Female)""},{""trait_type"":""Aura"",""value"":""Arcane""},{""trait_type"":""Outfit"",""value"":""Leather""},{""trait_type"":""Proficiency"",""value"":""Greatswords""},{""trait_type"":""Combat Style"",""value"":""Deceitful""},{""trait_type"":""Acquired"",""value"":""Ethershards""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00114-3734333""}]"
113,3734311,0x990649ece38381f2f9d6d49b67ba7e64e6c157b22936dbc99517cd70dd147ec6,"[{""trait_type"":""Class"",""value"":""Knight (Male)""},{""trait_type"":""Aura"",""value"":""Trinity""},{""trait_type"":""Outfit"",""value"":""Fullplate""},{""trait_type"":""Proficiency"",""value"":""Broadswords""},{""trait_type"":""Combat Style"",""value"":""Mystical""},{""trait_type"":""Acquired"",""value"":""Bloodgems""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00113-3734311""}]"
112,3734268,0x3d5d6292eb979ea00ed4a5c2516e7a612e4402e1223138bee61ae31c91cd55ab,"[{""trait_type"":""Class"",""value"":""Knight (Male)""},{""trait_type"":""Aura"",""value"":""Valor""},{""trait_type"":""Outfit"",""value"":""Fullplate""},{""trait_type"":""Proficiency"",""value"":""Maces""},{""trait_type"":""Combat Style"",""value"":""Methodical""},{""trait_type"":""Acquired"",""value"":""Coinage""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00112-3734268""}]"
111,3733841,0x3310cf91b1019298a175a3d5c81c21efd3b1942aa4dd8a39abec8b64eccb6a80,"[{""trait_type"":""Class"",""value"":""Warrior (Female)""},{""trait_type"":""Aura"",""value"":""Valor""},{""trait_type"":""Outfit"",""value"":""Halfplate""},{""trait_type"":""Proficiency"",""value"":""Longswords""},{""trait_type"":""Combat Style"",""value"":""Evasive""},{""trait_type"":""Acquired"",""value"":""Relics""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00111-3733841""}]"
110,3731100,0x15ce753176635ef89da2fa85f51bb22a91d506d195a39938d9f2cf00a04bef77,"[{""trait_type"":""Class"",""value"":""Knight (Female)""},{""trait_type"":""Aura"",""value"":""Flow""},{""trait_type"":""Outfit"",""value"":""Fullplate""},{""trait_type"":""Proficiency"",""value"":""Battleaxes""},{""trait_type"":""Combat Style"",""value"":""Cautious""},{""trait_type"":""Acquired"",""value"":""Ethershards""},{""trait_type"":""Set"",""value"":""December Passing (100-119)""},{""trait_type"":""I.D"",""value"":""BTRC-00110-3731100""}]"
