token_id,ethscription_number,ethscription_id,attributes
75,551288,0x982ec3b567911b1e3047351adb95acb1b19ca2a2746b666eddcf455c2a184f3e,"[]"
74,551287,0x0f5a67da91372f8eb8940fed5a060429a976f43e83e6fc169460536e1b5717d8,"[]"
73,551286,0x2b54b56e2e06f55706d081b7d00e7dc015af24cf4a4e898da525525784cfa90e,"[]"
72,551285,0x1546488ae6eb1e66db0627e86c33303d7e641c30e57ed11f217392d8adc5670c,"[]"
71,551284,0x6cb4e0cf921f2b0582897ee5178a6a7b3eaf40983b2bb1e021296e3d2421375b,"[]"
70,551283,0xdcd04f798e6f5dd7029e1f1ee73f5a97280b1f0fdda0632e55a4768b933e555c,"[]"
69,551282,0xec4c2d5b5e1c6f74086bbc2052094ee4a17b30cbd8edfb548a3251c37a689c4a,"[]"
68,551281,0x40683e68fc904b5f8eeceb4cf8d9ce55b13bd38467dbc0d1decb504362509ba1,"[]"
67,551280,0x65062e62482aca221a9431d22c6eb16c3ba0c4db628fa6bb4c62de20e1039044,"[]"
66,551279,0x85716d97f205ccee955e45fe2574f602d1b5f46bc359e6f735dfcc909264a8da,"[]"
65,551278,0x0c4774777e61fad06b74d626ff8128deb1e266c130e62b174a06e60c73dc591d,"[]"
64,551277,0xc1dcaf0f67d4bb6743ac041706139b75be33a2445320a13e58fb076509fd4d6d,"[]"
63,551276,0xed2d658e6be9925c1daa9337e553717c9d215f88da0fb26c4e9977b7c2898c6c,"[]"
62,551275,0x963b163250a98534c4a4450527be7412292c0f1f9c3ef4dcfc2746ba228b6eac,"[]"
61,551274,0xc8fb9d3744e5a25d0fadbe95b7069f17e47378dd31b5e4f6f1a85bc1c820e64d,"[]"
60,551273,0x60da403303a217d8346f68e41def428b292ae14af88d89c5b5d4d99fe80f1793,"[]"
59,551272,0x6cd9c76bc4d9530bc9a70b843b3b1118a33581f93b5f635b9edf79bcdc9856fe,"[]"
58,551271,0x9de30700847c8641caf31c0c9a18c4f32ed3f20f560feb22fd98e8cadab269f6,"[]"
57,551270,0xdc4bbc898628ed9bf71fc61ab9d7ab52d71a264b9d6ad9165c383bfc0f849887,"[]"
56,551269,0xf42aa180fc0aac13b55f494179115ef20abd01a7698cae0486ff96321f4f5835,"[]"
55,551268,0x5560fece9bf8aaaf5e08ca29403eaff7e475a8b7c668fe200cd8dda9764745f9,"[]"
54,551267,0xc879d10bb470288c6a3d5723afd8a4aea8f24c4fa313cc74be773c8df980b414,"[]"
53,551266,0xf268604d8197c1c683123b81387a8030e35c2038d262b4a94b133bb2854fefcc,"[]"
52,551265,0x726c4df52a2d4fec0d55bcefeec3f2294cd9cc89a513f062f30182e6f2000f21,"[]"
51,551264,0xaeb501c46acd7b9d8bc80949d56ea76eb9bab64e8d9b74c22daa75a2dae6608f,"[]"
50,551263,0x262c0c041f18e5a57e1d0a3caa3196332f5b85ec5da8960b4b18fbc23e8a99cd,"[]"
49,551262,0x10aca8d3e64c7369755f7b156c100f2a4179e73cf1f2fcdf4f93a20bb20b357f,"[]"
48,551261,0x79aaea8845ff6b60d57abb38a6f4a68814e51c5e748491cbea296149721f0e89,"[]"
47,551260,0x8c3b14d2ca6dcba3cba1e9ea1da84b42610f3105f35afd551d912178cfca4a80,"[]"
46,551259,0x0a4b79010be9fc9e17998f2921a2d4251fc4c806305a9a871f9d0c61dffde392,"[]"
45,551258,0xb6b9572ea296e44a4835d08d5ba200bdb6099aa33ba2c8b9f30d5d4008e0241e,"[]"
44,551257,0x18fd4754a599ab225f50edf4a52d6700b79255f504938c17f2dbadd188df0ed2,"[]"
