token_id,ethscription_number,ethscription_id,attributes
799,5919199,0x695235b7abf388e0b2ea661eb6a9c31fa61e57e8f7c1bd5f0a4d78cc683805c6,"[{""trait_type"":""Backgrounds"",""value"":""Gorilla Glue""},{""trait_type"":""Body"",""value"":""Cannabisseur""},{""trait_type"":""Lips"",""value"":""What Happened""},{""trait_type"":""Eyes"",""value"":""Wylin Out""},{""trait_type"":""Buds"",""value"":""Special K Kush""},{""trait_type"":""Hats"",""value"":""LogicCap Gold""}]"
798,5919186,0x278ff2f73041635c4d9280d8581233a5eb4240492cbb32e78daf58476d189d35,"[{""trait_type"":""Backgrounds"",""value"":""MAC""},{""trait_type"":""Body"",""value"":""Herbalist""},{""trait_type"":""Lips"",""value"":""Stoner""},{""trait_type"":""Eyes"",""value"":""Wylin Out""},{""trait_type"":""Buds"",""value"":""MrsK47""},{""trait_type"":""Hats"",""value"":""Headband Pink Green""}]"
797,5919104,0xb928b2c0e2f003e91143123c8c52428c475b1d5b05661d2879853c27fbd3125a,"[{""trait_type"":""Backgrounds"",""value"":""Gushers""},{""trait_type"":""Body"",""value"":""Cannabisseur""},{""trait_type"":""Lips"",""value"":""Sissy Lips""},{""trait_type"":""Eyes"",""value"":""Cannabis Kaleidoscope Red""},{""trait_type"":""Buds"",""value"":""Grape Ape""},{""trait_type"":""Hats"",""value"":""Skully Green""}]"
796,5919076,0x49e5e785161a46074197c0a8a358027f67dc57552316974349fe993bbd9c5df2,"[{""trait_type"":""Backgrounds"",""value"":""Strawberry Cough""},{""trait_type"":""Body"",""value"":""Laughing Hyena""},{""trait_type"":""Lips"",""value"":""Smoke One""},{""trait_type"":""Eyes"",""value"":""Baked Blinkers Grey""},{""trait_type"":""Buds"",""value"":""Special K Kush""},{""trait_type"":""Hats"",""value"":""Skully Green""}]"
795,5918970,0x915068c1ab0e300aaaefd7180c4fb88feec30620c34f66e6e1c2a4a2715a0af2,"[{""trait_type"":""Backgrounds"",""value"":""Hindu Kush""},{""trait_type"":""Body"",""value"":""Cannabisseur""},{""trait_type"":""Lips"",""value"":""Sissy Lips""},{""trait_type"":""Eyes"",""value"":""Baked Blinkers Suspect""},{""trait_type"":""Buds"",""value"":""Blue Dream""},{""trait_type"":""Hats"",""value"":""LogicCap Gold""}]"
794,5918969,0x575c1716b173eff59f479c7223ea00d94ece4a7e3cf6b91f2f35624ace63a3bf,"[{""trait_type"":""Backgrounds"",""value"":""Forbidden Fruit""},{""trait_type"":""Body"",""value"":""Laughing Hyena""},{""trait_type"":""Lips"",""value"":""What Happened""},{""trait_type"":""Eyes"",""value"":""Baked Blinkers Smokey""},{""trait_type"":""Buds"",""value"":""Smokin Dice""},{""trait_type"":""Hats"",""value"":""LogicCap Purple""}]"
793,5918786,0x2e01aa725192d68dfd9d4d0dfad6bcefb80990b4407ec94c14d32bfc72f36e49,"[{""trait_type"":""Backgrounds"",""value"":""Alien OG""},{""trait_type"":""Body"",""value"":""Cannabisseur""},{""trait_type"":""Lips"",""value"":""Ganja Smoke Indica""},{""trait_type"":""Eyes"",""value"":""Blazed Green""},{""trait_type"":""Buds"",""value"":""Smokin Dice""},{""trait_type"":""Hats"",""value"":""Laughing Lid Blue""}]"
792,5918785,0xdd26266aa64a04de8c3cff35c62378bb907bb4d258b7a1b6ef6d9d540f175649,"[{""trait_type"":""Backgrounds"",""value"":""Slurricane""},{""trait_type"":""Body"",""value"":""Herbivore""},{""trait_type"":""Lips"",""value"":""Smoking Os""},{""trait_type"":""Eyes"",""value"":""Baked Blinkers Grey""},{""trait_type"":""Buds"",""value"":""Orange Crush""},{""trait_type"":""Hats"",""value"":""Skully Green""}]"
791,5918596,0xb0941d445f8850065c55af9698b99c52d4d106edfdf03f8ee8747c0f1381e387,"[{""trait_type"":""Backgrounds"",""value"":""Bubba Kush""},{""trait_type"":""Body"",""value"":""High Flyer""},{""trait_type"":""Lips"",""value"":""What Happened""},{""trait_type"":""Eyes"",""value"":""DogeMau_d""},{""trait_type"":""Buds"",""value"":""Blue Dream""},{""trait_type"":""Hats"",""value"":""Loco Lid Green""}]"
790,5918595,0x1663e886f1897eb9e182cd1cb516356a8d8705edc727b45aaf458fd9e87ee6bd,"[{""trait_type"":""Backgrounds"",""value"":""Orange Creamsicle""},{""trait_type"":""Body"",""value"":""High Flyer""},{""trait_type"":""Lips"",""value"":""Smoke One""},{""trait_type"":""Eyes"",""value"":""Tech G Goggles""},{""trait_type"":""Buds"",""value"":""MrsK47""},{""trait_type"":""Hats"",""value"":""MoonQueen Crown""}]"
789,5918162,0x0b1a7bd42a5e67f28e3d06ffe2ddaa2646c245c7e31078a183a48e26db97fc71,"[{""trait_type"":""Backgrounds"",""value"":""Strawberry Cough""},{""trait_type"":""Body"",""value"":""Space Cowboy""},{""trait_type"":""Lips"",""value"":""Smoke Os Rising""},{""trait_type"":""Eyes"",""value"":""Tech G Goggles""},{""trait_type"":""Buds"",""value"":""SkyWalker""},{""trait_type"":""Hats"",""value"":""Im High""}]"
788,5918161,0x5fe5939d68dba9fa98752e41ffc1b8517cea3b7fd7d96a3b092bf2e6bdf4f937,"[{""trait_type"":""Backgrounds"",""value"":""Kush Mints Matrix""},{""trait_type"":""Body"",""value"":""Goodfellow""},{""trait_type"":""Lips"",""value"":""Ganja Smoke Purple Haze""},{""trait_type"":""Eyes"",""value"":""Caught""},{""trait_type"":""Buds"",""value"":""Northern Lights""},{""trait_type"":""Hats"",""value"":""Skully Yellow""}]"
787,5918160,0xd7e8a2e4ab6fc1b191e04bc00a08bfe4ae1fc977a6d960d358c971c3a34e8558,"[{""trait_type"":""Backgrounds"",""value"":""Hindu Kush""},{""trait_type"":""Body"",""value"":""Sativa""},{""trait_type"":""Lips"",""value"":""Ganja Smoke Indica""},{""trait_type"":""Eyes"",""value"":""Infused Optics Blue""},{""trait_type"":""Buds"",""value"":""Golden Ticket""},{""trait_type"":""Hats"",""value"":""LogicCap Purple""}]"
