token_id,ethscription_number,ethscription_id,attributes
52,194496,0xf2bb069993b384fcdf0e6c010eab5b1e84fb4cd652836ad294d1a5abb9e2ba9b,"[{""trait_type"":""biome"",""value"":""Clarity Falls""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""},{""trait_type"":""accessory"",""value"":""Kite""}]"
51,194288,0x449410de3e6ca5df1e2ab8e298cfa4bae746f6010fe26cb7322ce6cd1b5a2eef,"[{""trait_type"":""biome"",""value"":""Vermuda""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Standing""}]"
50,193936,0xe04d141a89f3ea82bcf588b9ecc9e0859dd2337d2c3605edadf94c7a152fa98b,"[{""trait_type"":""biome"",""value"":""Prairieland""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight""},{""trait_type"":""accessory"",""value"":""Vroomway Wings & PK Skull""}]"
49,193781,0xf10f728a4bc35127b29c52e119618a95ac76d6d0768005f5a4b7520061020354,"[{""trait_type"":""biome"",""value"":""First Light""},{""trait_type"":""avatar"",""value"":""Emm Floating""}]"
48,193641,0xd55462a0dd5e678f3ba435b34c8f9f0ab6d39dd89a5004509a28b947e880f75f,"[{""trait_type"":""biome"",""value"":""Pirates Cove""},{""trait_type"":""avatar"",""value"":""Samurai Spotlight""}]"
47,193498,0xc1c562f3590ce4060e7d4be1159dcc7ddc46e4582e3199c0b9596246d37bd7f2,"[{""trait_type"":""biome"",""value"":""Lushland""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""},{""trait_type"":""accessory"",""value"":""Kite""}]"
46,193470,0xcbf9934070ce55608233ef2aba9afead8c4ab87a9938590c05c65938914d6e05,"[{""trait_type"":""biome"",""value"":""Rigid Ridge""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""}]"
45,193457,0x4ce7a92cf197517d09e6eeb1d92cb049bdfce14435bf8cc88865c514de3bad17,"[{""trait_type"":""biome"",""value"":""Vermuda""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
44,193441,0x84961e779718e36be90067f2d1a63feacfabc87cbdfd2652940095a4dc97e470,"[{""trait_type"":""biome"",""value"":""Rigid Ridge""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
43,193432,0x49c28d43984a92f12fa262b4c83c5e5790400805e34dced20a4379a3e4beeb54,"[{""trait_type"":""biome"",""value"":""Lushland""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight""},{""trait_type"":""accessory"",""value"":""Vroomway Wings & Kite""}]"
42,193415,0xb19d20bb854bd2fc034fb560061ec0ed89a4f905bfc4820771c9e89c10cf6493,"[{""trait_type"":""biome"",""value"":""Freddys Cave""},{""trait_type"":""avatar"",""value"":""MVFW23 dripp Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
41,193412,0x0b248c1a325de6ffad906e13d8350318f95b535a0c8d35a2df64c0430b93e7b8,"[{""trait_type"":""biome"",""value"":""Desert Station""},{""trait_type"":""avatar"",""value"":""Emm Floating""},{""trait_type"":""accessory"",""value"":""Kite""}]"
40,193405,0x77c2f33b235c742baed5b7652829ccea40f03c1d13daaee40dcff61017daf609,"[{""trait_type"":""biome"",""value"":""Jurassic""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""},{""trait_type"":""accessory"",""value"":""Kite""}]"
39,193396,0x758fcee0dc2501d5b33debe98cc72c8a6a0d9e615bace77427addec5e4edd7a6,"[{""trait_type"":""biome"",""value"":""Vermuda""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight""},{""trait_type"":""accessory"",""value"":""Vroomway Wings""}]"
38,193387,0x51a10585173974f9458f18aa485676027e54719b8874d995b2d1b8ac845f3fa3,"[{""trait_type"":""biome"",""value"":""Winterfrost""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
37,193367,0xeab11ffe2276734d88710b40cdb46bc089d45c4e40ce569680794c394856bb88,"[{""trait_type"":""biome"",""value"":""Prairieland""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""}]"
36,193354,0x11519b725f580d05357005b5114c4d6f453d5f13626b7ab94e87cfa08104a551,"[{""trait_type"":""biome"",""value"":""Sacred First Morning""},{""trait_type"":""avatar"",""value"":""Emm Floating""},{""trait_type"":""accessory"",""value"":""Kite""},{""trait_type"":""enchantment"",""value"":""Doki's Radiance""}]"
35,193346,0x565fcc34949d70a81e01d3ec70c1094e01c74d343959421ec52a9fa2a1c91feb,"[{""trait_type"":""biome"",""value"":""Serene Spa""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight""},{""trait_type"":""accessory"",""value"":""Vroomway Wings & Kite""}]"
34,193339,0xc4dcc9f3569d17ab2a45680a6f35764714202d0a52abe5f02744292ae49b1cce,"[{""trait_type"":""biome"",""value"":""Vermuda""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Standing""},{""trait_type"":""accessory"",""value"":""Kite""}]"
33,193323,0xce171c6d3b1425434d591cb949105fd859758a17f6fbe0e32d037716f6be3676,"[{""trait_type"":""biome"",""value"":""Amber Point""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Standing""},{""trait_type"":""accessory"",""value"":""Kite""}]"
32,193303,0x4cfce234d8668e6987ad77e6cc09f9a4843702cbc8faf57208794095f4616a8e,"[{""trait_type"":""biome"",""value"":""Desert Station""},{""trait_type"":""avatar"",""value"":""Samurai Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
31,193295,0xc9293ff8c6bc43745c8dc1e4d378bba0f33cfd861288d952de4adec7661c5258,"[{""trait_type"":""biome"",""value"":""Serene Spa""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
30,193093,0x1a89381c5207d9e6207043fb79c406b8142067d35e78a15820af402418be0093,"[{""trait_type"":""biome"",""value"":""Freddys Cave""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Spotlight ELITE""},{""trait_type"":""accessory"",""value"":""Kite""}]"
29,193080,0xa823a9c07a460a8f30960ec3550a9fc3dddf465daf91d31040748e2cbfa1892f,"[{""trait_type"":""biome"",""value"":""Sacred Lushland""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Standing""},{""trait_type"":""enchantment"",""value"":""Doki's Radiance""}]"
28,192979,0xb1a141d91bcd77e5a3c8a8497c27a6470e70e0bac8abb5bdd185534e1b0b4cc0,"[{""trait_type"":""biome"",""value"":""Sacred Lovers Peak""},{""trait_type"":""avatar"",""value"":""Emm Floating""},{""trait_type"":""accessory"",""value"":""Kite""},{""trait_type"":""enchantment"",""value"":""Doki's Radiance""}]"
27,192815,0xf2e51793fd448621a25747ee6c252807e86acb6a4c3889f4f00e63e391a0c288,"[{""trait_type"":""biome"",""value"":""Mega Forest""},{""trait_type"":""avatar"",""value"":""DOCTORdripp Phygital Hoodie""}]"
26,192776,0x3134b6b4abe10d4c115aa4a07d5ae7078d41e095d2cc26ac7e79a556c4dae51c,"[{""trait_type"":""biome"",""value"":""Sacred Element115""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight ELITE""},{""trait_type"":""accessory"",""value"":""Vroomway Wings & Kite""},{""trait_type"":""enchantment"",""value"":""Doki's Radiance""}]"
25,192724,0xa175e8c6150fafc623074c53459da6045f1dccea93a7111f415a25e5182c54f3,"[{""trait_type"":""biome"",""value"":""Desert Station""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Spotlight""},{""trait_type"":""accessory"",""value"":""Vroomway Wings""}]"
24,192494,0xa54727794d20c4a0fedf8c4b6f90b3c80f8a7f347b4dc9ecf991803b17cff28b,"[{""trait_type"":""biome"",""value"":""Smokelands""},{""trait_type"":""avatar"",""value"":""Transformative Streetwear Vol 2 Shrug""}]"
23,192488,0x88a56bd70564d3bcab94d714d5b1b00bb317533643f02814733e81f75aaa2df2,"[{""trait_type"":""biome"",""value"":""Sacred Vast Canyon""},{""trait_type"":""avatar"",""value"":""Samurai Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""},{""trait_type"":""enchantment"",""value"":""Doki's Radiance""}]"
22,192273,0xaba98410587c1e1943d6dcaecd4b2105317aa9a26400c2368dd03dbac8b9fc1f,"[{""trait_type"":""biome"",""value"":""Vermuda""},{""trait_type"":""avatar"",""value"":""Samurai Spotlight""},{""trait_type"":""accessory"",""value"":""Kite""}]"
21,192212,0xbaf0c81ab52c808497aa63e8b1166fcddc919ec9541f07ee006c05cdaf2bc46a,"[{""trait_type"":""biome"",""value"":""Prairieland""},{""trait_type"":""avatar"",""value"":""Emm Floating""},{""trait_type"":""accessory"",""value"":""Kite""}]"
20,192068,0xaea6294764fd6de2ada2afe212350b941f9fea08365da12ba6adc643b4ca3389,"[{""trait_type"":""biome"",""value"":""Pirates Cove""},{""trait_type"":""avatar"",""value"":""Samurai Spotlight ELITE""},{""trait_type"":""accessory"",""value"":""PK Skull""}]"
19,192055,0x7416fbad565bccdf0c5983f0f16b56b953f9de258ae6d5b87ae5bc0ce24b97c6,"[{""trait_type"":""biome"",""value"":""Winterfrost""},{""trait_type"":""avatar"",""value"":""MVFW23 DOCTORdripp""}]"
