token_id,ethscription_number,ethscription_id,attributes
49,256628,0xef8913f8640e94d9034da4dfb1d8ad0035f2b04b6b2ac20816595c5f6daa78b4,"[]"
48,256560,0x67fe17039dcd11243979b02465c53f1a117a8703d6fbcbb19c151d5cfa5b91cb,"[]"
47,252146,0x83e59def928fa14fbc05ff8e897c581087879b967d4388d4ec8d3b167c487d79,"[]"
46,242404,0x325163b5d35566bf9af22329d1943105c10139dd004be7abe303ec6469010581,"[]"
45,239322,0x24b1e6da03c179229cbf6d4aa2467e72db8c6a2765d67987e8d1d0ea3585794b,"[]"
44,236483,0x9b800f4e8969779a700fffee5b9cb4eaf8aea04bd3028ffb0110e62a917ab5be,"[]"
43,234483,0xddfe13f131bbbac03c8d687a4019495178b0edf5f0672d0c132589803284571e,"[]"
42,231804,0x0b6ba443360696859d0358d7e24340b924e6d3a45e9b4b1f0c0228da300d75a0,"[]"
41,230712,0x51a397645249f6347767be85bc69ebc5580fa7414792459a740871172e9d2604,"[]"
40,229936,0x1235afd8842675ea046ba0c391b1ec25cf3dbc0af2c3a2965647b966e1459c26,"[]"
39,229325,0xde321d4806a0db102f4ca9245ce59fabe3deaffb8dfc27b62e94e8fffdcdc010,"[]"
38,228575,0x6f72b22955245439434fe5321a71e56ecc78590192048edd3c5892522bbcb397,"[]"
37,228112,0x4a0180d4a62870b4d9526e3f1cab2032a7df3d0a16c56b5ede940bfb0b0b215b,"[]"
36,227488,0x56000ca368146e881fbfc51737e78328af1469d226d1c00619a9247ad1805864,"[]"
35,225626,0xd159a8a67b4e1e08526abe74eece89c424fd2796697318e94eb971dde8cb90f0,"[]"
34,225203,0xf84371589c190ec4c7ca1256d92af923145bd632e669d086eacbf5ae993acb62,"[]"
33,224728,0x5f11805eb61e058688220be38ea8279e7165861aef88d762f46ea519fd1fa66d,"[]"
32,224369,0xf8b34f7d7479949a2e27a4587c6200870cfd8a17ee965f6dc37c05428e6eb620,"[]"
31,224152,0x723f75ed7353fd5febcbdc2e955a80137ef1e532eb0f66e108b0b7ff2864a31f,"[]"
30,223761,0x8f224fb9bd91da4ae24ced3af3c06f291ec9e34f2faf1782d35996ead0984aea,"[]"
29,223541,0xb6f5b8d2fb325364f56db70e5b19dfeae92909e5c847315533ff9ab10ba38043,"[]"
28,223314,0xa809f27204328a73bd40349510af783c47a408d115594c3051ae85b1ae1e1cc9,"[]"
27,223151,0xb9647c81598f7ee237c83f424767a10e78fb25eb024c09fa37c1852d5c55fd2d,"[]"
26,222945,0x2bc8a4d6c0db2d93d9870141f95557a32a645d45e6760696798f81b6da6ce6a7,"[]"
25,222443,0x315fa52ba6474c70ee7eafd4c7a6796b92260c0ac272a1ed47177091eec2a063,"[]"
24,221896,0xcb20748bd510be58d4d69b971a4a83b2c32031b325e3a5e5fc3a8b5a0a5ed814,"[]"
23,221559,0x70ee18cd11bd2624bfde85c033559cfac21ee6e8c5e4f18f8811bc2e5acecfbd,"[]"
22,221175,0x37a96d65637422873d81198fa05876089110adca4f32b649ed9f227b9c923a9b,"[]"
21,220867,0x38738d77b1dea45093e3d99a1567a411bdd602d0a21026dcadbd22d9ab4b2eb2,"[]"
19,185037,0xe99e6b49fffaec53899609e6a4fdd8273d47c3dd01738d7d5fdfc461c6151b02,"[]"
18,185035,0x2d5cc066c5aacead9629cc9b5c549c4a4dbbaf524185753a66558a5dce92961a,"[]"
17,185032,0x10b3077727442f1cefb35166f8a928ae0ce5cc0bc56fb5a480bd950354ba52a9,"[]"
16,185031,0x533b108ba1c956a712c0998d010c129cd43ebef1bc37c5cb72179050d2688716,"[]"
15,185028,0x8263d29df90bf038636c4d30d2d72b488b196e48b8b640b5ff04fb4788275d91,"[]"
14,158540,0x77a22b2d7e9f4e448905df15be6189255369b8973c557f5251b5d0b91b58bf8d,"[]"
13,158515,0x94cda747fb94c691d2c41c9e5c5db3959fc668bf6cc34e0fb08c854881e7dee8,"[]"
12,158496,0x163b91663f26d3959e97f43a223b3c86e0d30082ff1beea0d52e81e29643c07b,"[]"
11,158495,0x1469be7d7a34a71943a9aeffd402d11fc73bd9f2ec252acd1f49fd7f17dc1f3b,"[]"
10,158493,0x00a11a977c1497facc1339a892ba817147238c88d66f2fc1cc4a8a61b5dd5a0b,"[]"
9,158492,0x81aa7de4b80bcb03e4c16e729c0e49569527e1f69a2567401b277bde981c8144,"[]"
8,158490,0x8c0f54be26a36da371549d137c8739e05f2bb3bba8efdd689237344e4ebb5e10,"[]"
7,158488,0xd00fdc0f68fe7964ffb0436912ed22535c00157ba0d8523dc5181ced595eaf78,"[]"
6,158485,0x9896daea0c0f9b078d14407ab3ce5aeb3b93644fd38d95b796253fbc0df7456f,"[]"
5,158482,0xfadfbb2d380f6fbced23ae608717afb92f4d612957f7efd3c5e670737e122b57,"[]"
4,158477,0xc8572b8477801e8f0e4ff0e18a82f94495a21171b341388611b83fbb1e78a6ad,"[]"
3,158475,0x7a47f5ef3f6c84e857c2d7c781e396bb7f50e5b5e1fd85cfc25d3c263e300e82,"[]"
2,158465,0x8f66fd58af31da46a5b31693740a82b50375e3981789a469109a17493c160ef4,"[]"
1,158462,0xfb3f93f0a600cc25d3212c48c8f99f64f4f42d78800f9b935e22b392ab757926,"[]"
0,158459,0x2e5b4eb63c2070850f6ef95488137e515847144d414c31068227bffbc6aa35ea,"[]"
