token_id,ethscription_number,ethscription_id,attributes
139,1117173,0xba58b94636c10bd79ebdc0b4b36651f746a5c10530701ccc14b77115b5e503a7,"[{""trait_type"":""hex"",""value"":""#2a7e19""},{""trait_type"":""luminance"",""value"":""75.07465""}]"
138,1117058,0x8e67fdac678d4c5cdaa0a2ea2e10013e44b19f5be5abd485a5abd2004c5fb675,"[{""trait_type"":""hex"",""value"":""#7ff217""},{""trait_type"":""luminance"",""value"":""147.06516""}]"
137,1094688,0xd2c182f0295703006b2272533f6f1ed3ee8e7406cca84b3ba6c1600d6d4377e0,"[{""trait_type"":""hex"",""value"":""#bdbbad""},{""trait_type"":""luminance"",""value"":""125.02673""}]"
136,1094687,0xb8678d72033a08465900e7c4cb5bbe5dbb62ec2478c6905b86833c04d46f4d80,"[{""trait_type"":""hex"",""value"":""#98fb98""},{""trait_type"":""luminance"",""value"":""155.15789""}]"
135,1094685,0x5b107ccb08a77ab4f84750aafda56065454d3b4d7893ea01b8d57e3399ab56db,"[{""trait_type"":""hex"",""value"":""#000080""},{""trait_type"":""luminance"",""value"":""14.592""}]"
134,1094684,0x1dfeec4b794833b0651417728da2e330f56fa7c48cf454ee6ee1952725a59350,"[{""trait_type"":""hex"",""value"":""#008080""},{""trait_type"":""luminance"",""value"":""76.53983""}]"
133,1094683,0xadcf58fec984c15b55cc44aad398e05ac7dd68ba693239aa725f49e963dd9898,"[{""trait_type"":""hex"",""value"":""#008000""},{""trait_type"":""luminance"",""value"":""75.136""}]"
132,1094682,0xf0c63a01da3394a3038b7a5a34a9c9ce6ce7e4afe9686a94dedb4900f4082a2d,"[{""trait_type"":""hex"",""value"":""#808000""},{""trait_type"":""luminance"",""value"":""84.32179""}]"
131,1094681,0x7e0a148412ae31bf3b095398097775df2422da87f70d167326ecd475645c25dd,"[{""trait_type"":""hex"",""value"":""#800000""},{""trait_type"":""luminance"",""value"":""38.272""}]"
130,1094680,0xcab310282c940dffe8c8de08858beab29d56b1896faf51310bf7ae9015817f76,"[{""trait_type"":""hex"",""value"":""#808080""},{""trait_type"":""luminance"",""value"":""85.57506""}]"
129,1094679,0x5276f138ea2bfb5e86be20f7c1f73339bc136888588237ec51cafe3a9d253204,"[{""trait_type"":""hex"",""value"":""#c0c0c0""},{""trait_type"":""luminance"",""value"":""128.36259""}]"
128,1094678,0x0b84fbd8133ede05524556a4038e97aa0db48eda2ced5c4d1f31c54e262614d7,"[{""trait_type"":""hex"",""value"":""#ff00ff""},{""trait_type"":""luminance"",""value"":""81.5988""}]"
127,1094677,0x8fe09972137477c0f9307990a72cd7f8558efc381a7c457b2c29686d61d984f5,"[{""trait_type"":""hex"",""value"":""#00ffff""},{""trait_type"":""luminance"",""value"":""152.48168""}]"
126,1094676,0x36f31b6ed63e9b50191a19e641d299817ec5d4f76d2b78199da090cf836df288,"[{""trait_type"":""hex"",""value"":""#ffffff""},{""trait_type"":""luminance"",""value"":""170.48157""}]"
125,1094675,0x0b97e0e5e774368f096e3c5085e09e20a979ae7f85382615bfb37a331a473f69,"[{""trait_type"":""hex"",""value"":""#888888""},{""trait_type"":""luminance"",""value"":""90.9235""}]"
124,1094674,0x2280d66543d9764b5cfcb8ee0c8df03d5ddcc01cd7403ac3eb1632a344b943ff,"[{""trait_type"":""hex"",""value"":""#777777""},{""trait_type"":""luminance"",""value"":""79.55806""}]"
123,1094673,0x416189a6057fb3850b71960c28cbc50effa7aa9f9d712a8a06f3eb81504f0c27,"[{""trait_type"":""hex"",""value"":""#666666""},{""trait_type"":""luminance"",""value"":""68.19263""}]"
122,1094672,0x192d00905604d047f9d676a6e6ad21222e1bf3b6a04415bf63001df176302549,"[{""trait_type"":""hex"",""value"":""#555555""},{""trait_type"":""luminance"",""value"":""56.82719""}]"
121,1094671,0xa193f2cb7b4a0991db2d5ebd904f43d4314d6b66920d300ed10a2a08dc3c40c6,"[{""trait_type"":""hex"",""value"":""#444444""},{""trait_type"":""luminance"",""value"":""45.46175""}]"
120,1094670,0x026be475f3a123d468405b653c90c17a048fa692ec5a117229cf3b66116a696b,"[{""trait_type"":""hex"",""value"":""#333333""},{""trait_type"":""luminance"",""value"":""34.09631""}]"
119,1094669,0x95b027dbef62336c2fdaaeb268c4ffa900e7470062c7c7e996e200d322f6b5e3,"[{""trait_type"":""hex"",""value"":""#222222""},{""trait_type"":""luminance"",""value"":""22.73088""}]"
118,1094668,0x801f2cdc67b33af29241ab08a38e2b3679d59b3e24a8d7de379ed857f36382ab,"[{""trait_type"":""hex"",""value"":""#999999""},{""trait_type"":""luminance"",""value"":""102.28894""}]"
117,1094667,0x5b77c37c07b4a0ed3fe336dc72bcc808f2ddf663d176b1408db35a522632dd53,"[{""trait_type"":""hex"",""value"":""#111111""},{""trait_type"":""luminance"",""value"":""11.36544""}]"
116,1094533,0x6de1c0ccbcea1a13c6e8a3a3ccb1265d75178e36413f156ed425df1b59b34ca7,"[{""trait_type"":""hex"",""value"":""#beef69""},{""trait_type"":""luminance"",""value"":""151.83143""}]"
115,1094320,0x804a9bb0af53d866843f9a25627a5c0d0d3c6a5c42283fff04426d64196dbc1c,"[{""trait_type"":""hex"",""value"":""#55ffee""},{""trait_type"":""luminance"",""value"":""154.23251""}]"
114,1094175,0x227b1ba898c5522cf046011030798495e61f1a0288daec987b3a4940b9eaedee,"[{""trait_type"":""hex"",""value"":""#cc4e5c""},{""trait_type"":""luminance"",""value"":""76.98615""}]"
112,1093888,0xcf307402394b46ea44e6c529297c21f9324e90f6e229c387591860df74b1be9c,"[{""trait_type"":""hex"",""value"":""#ff69b4""},{""trait_type"":""luminance"",""value"":""100.16608""}]"
111,1093775,0x84d9233c375a672614eaf29dc836bbfa3164a2fa3e17bc4c4d793f4e644dd6f9,"[{""trait_type"":""hex"",""value"":""#ff0000""},{""trait_type"":""luminance"",""value"":""76.245""}]"
110,1093676,0xa8e5c985a4ab20acc76473c4f426fe6d13a3ea86e5f7e04f329cea51796f37fa,"[{""trait_type"":""hex"",""value"":""#ffff00""},{""trait_type"":""luminance"",""value"":""167.98482""}]"
109,1093644,0x53fe2eff8fe43fba35d513b200ebeb0e7b799c1295ae862839fe007ec5c932e2,"[{""trait_type"":""hex"",""value"":""#ffa500""},{""trait_type"":""luminance"",""value"":""123.26472""}]"
108,1093621,0x15240607dececb0a2f8f7416eacd062a4cce0c21a144d6cbdc4c55bc7975e48f,"[{""trait_type"":""hex"",""value"":""#800080""},{""trait_type"":""luminance"",""value"":""40.9594""}]"
107,1093589,0xdcd9508594c0eb2d75cb615635023ef0b8306eddbcd55b74e327988d7698beb7,"[{""trait_type"":""hex"",""value"":""#aa23ff""},{""trait_type"":""luminance"",""value"":""62.05522""}]"
106,1093551,0x39e0d3b4eb529886fc8155f06da9fe4de788a9575103407075a00e8cc0d6ba98,"[{""trait_type"":""hex"",""value"":""#7cfc00""},{""trait_type"":""luminance"",""value"":""152.49964""}]"
