token_id,ethscription_number,ethscription_id,attributes
21,385850,0x2c27cd16d287392e562d863bd7ce573e35f3c70d86043318d6db44c7e11e9556,"[{""trait_type"":""Illegal Artifact"",""value"":""Glitched Artifact""}]"
20,385948,0x8d9097b99b649e7ed23f547561cda0ce1c6db9f168c6bf99b060506698dc8395,"[{""trait_type"":""Illegal Artifact"",""value"":""Glitched Artifact""}]"
19,300621,0x91f0117c3ddc221b94a6f39bdf625f7f0c4572bc12170efa9c71960c714be6eb,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
18,289003,0x8151dcf5cd77b4673f4604cf5d03257a34e953b365fa2af38a244cf9156155f1,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
17,300734,0xab17185af59d6124233b86dabcbe948fd3ce51361bcd6aeaaeb34d1406d1f271,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
16,263589,0xb157b8abd3c6f0644ad8b0070db0b399f83988427378aae6040e7753f0aa04b4,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
15,294451,0x7a2e6a427b2da5c47823fc2227323dfb00e301a36e464e90ce38460cbdfa7380,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
14,263248,0xc40cce3ba75d3ce131238d3b27e995bd114d2ff6fd212b2cb9ed290985f081bd,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
13,264360,0x788694093f615aa76de9a7d4d91ee0a93bb3527ef43bf5629f2ce95f609b18ff,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
12,115739,0x236fea5b92a7f6baba5672a23fc7b65c870eb292578dc8ccedbf1aec9641edc5,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
11,118015,0xb20543fef05ba29c17a735d074920c4e401a30e17882b452de1add956e7ba51e,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
10,115688,0x2ace83f1f708e36c1395de6dbcb64d1b7d2a5aabc87abb5ba9bbb2ad2ba5f411,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
9,114129,0x1e8a0b13c4a64e9db88afdf28805caeb7d3e54fc093a496f6185fe19ce648f90,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
8,10175,0xf9bc5d56637de39b6f92b442c649f4b4e40729e277e69f0cce2529c5fdb64807,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
7,113484,0xca921edddf6c5e25cb57c50374195dad5b2f4ee71f1dbebca89d58b383d6d70a,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
6,10166,0x5f3678f556fc009a2d14d5acb4c054753d4199b4b0faa345d374488f57048eff,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
5,10179,0x9ab0918e101773be040a886fb43131e51a4b897f5ce389fec4fcaf0dc2474ac2,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
4,10170,0x875d3274d7171fe42d46987fa133c099c1cae032e43d02155e273fb6968a2c46,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
3,10161,0x8e3422c2b5937477a8cfb6bda805f115d6a636cfd2c400360ef896fff02ac2f1,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
2,10150,0x38a097eaa2ba3666680424603574ff051fb969025aa75ab8294217a8c72b908c,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
1,10159,0x032c62678cadeb8fc6b1128fa3075ba668b4656c4e1472366d330174dc50d6de,"[{""trait_type"":""Illegal Artifact"",""value"":""Static Artifact""}]"
0,10317,0x621818296be22545271abffb47b056b4749f170a116a259be4760693c7ae56ba,"[{""trait_type"":""Illegal Artifact"",""value"":""Glitched Artifact""}]"
