token_id,ethscription_number,ethscription_id,attributes
31,3769999,0x8f99e815b8229ac0c5170e5222e12a8aeb59602d66772247f91facd7771753f4,"[]"
30,3664835,0x18837d1489b8ef3e5b25ef2a8c1957c0c1e71966a85ba481e7d09c641d93724f,"[]"
29,3629691,0xa56ae0cfaeeaa0ee4c51c5475c750c600021d3849daa2f0f3e444388a18991ed,"[]"
28,3581960,0xbc06d6256ceb196a9fb4a9d24b5dfbcbe35d06e0d400425e02ec31a450add26c,"[]"
27,1442662,0x9d4e90597a07eef3609131b56f69d515bcbfb0f9e046d40069567e14abca5bfe,"[]"
26,1442624,0x9ca598551dd24b0b61dc8bdf4699f7173a6fde14dc5c13ac5aadf618cc24bcb1,"[]"
25,1404714,0xd72f33e0b510b14c5bbce30545191ec3c0c23a73421ade6c5d698245dfa01585,"[]"
24,1404712,0xda7c8ad1c0a140083eabe23637b31a30c0085bf7cdd943436dacb761a706a6a1,"[]"
23,1404708,0xef48dd5fbec892b40a48c13c35392d8aac7731cf49bffd5349d30c1e4c8ab015,"[]"
22,1399120,0x53e942877715e557c2e3eb52649863a0eb5c2235ebd0916a371857c75d892fa6,"[]"
21,1385054,0xad364799b8ce68c5c69fcb2765c04449ad261d536abc69775fcfeb828912a018,"[]"
20,1379441,0x886c3008bfca5d192ab32adc60ffc3e04f979d5bf9d4df8e0576e395382aab83,"[]"
19,1375012,0xec8062e1fc48f7f3c41285713c9910a11408d89394856cbc6535e6ceafb79c80,"[]"
18,1375006,0xeee02aaf881af3a59ad4179442b0784ef91c7ad02208c0e09a11e8b218319159,"[]"
17,1368485,0x4a2f02878717dd6b1b861d195d5f26bbffb855f33ff346552412ea41bd1659f0,"[]"
16,1293664,0x9e0a135ab74849013cd4d6364ece967f9f28f0e1dfdadd3904d730f20f7bffd6,"[]"
15,1272302,0x4f8b8cdf74c5abd1e839dfd17104d8b83f4e685c4d2876abefcce5fae46cf8f7,"[]"
14,1268769,0xe19cc792630c5e1b1adb5c5c70ae079fbc82805b8054bd7e2ef8984636d66985,"[]"
13,1262466,0xfab046d5e68a03c392b7dd766c9b984ab6319758dc89429649c190d1fd956f61,"[]"
12,1262465,0xd290a83fe03907e46be9bc3b9c181bfac699f5b26a1d41d16ca29268c5522824,"[]"
11,1262463,0xca2609c505797908fd2fb367e07652514688e3ffe10c4cf2b58ba98432b1305f,"[]"
10,1262462,0x55af376b51d6ca51c40b5ce46cce040c14d9951472767507e313891c5a67b035,"[]"
9,1217297,0x24aac1f7d608f6a90b2ca2b4731514284bb213be70e92ec19fa64a206da93ef5,"[]"
8,1217293,0x86fbeb5ee0ccf78e4f9dd5ded888cc8cd4501bc90939ca40d33ec8e486152965,"[]"
7,1217289,0xf615049fe28ac8a532242a176eec2e8f50ec23a58d0e3f2bf31bde5779247c65,"[]"
6,1217287,0x6a74ee4d69c1273cdf9967220115565c530bb587f45e9162ed5c35ffadfb812b,"[]"
5,1217285,0x2df3e71d536d84dd29097721214c045a77e4c56d1fb1fb892a772853cf70939b,"[]"
4,1217282,0x4387de0796499da20261df90d1f6c334e4465a5588d30fb9a4d89eb97184a312,"[]"
3,1217279,0x559fdd1e114b083c41ac949ccc3e62a675c134bc6480b58d74f14ca21b869487,"[]"
2,1217278,0xf5259321b2a4737b9f2f15191799fea56dae507183dce691da25b91efff216f9,"[]"
1,1169958,0x88b33663ce0e35bc08974eabdc109f251d270555393a48bdc1be82ea10b79f7c,"[]"
0,1169954,0x401c2983ad4bc44607c0a633b2d9154ce32286141127702a00d3d335d17769dd,"[]"
