token_id,ethscription_number,ethscription_id,attributes
249,3101568,0x15be1f0ad22f5bd51b81e9716fa2652387c0f45ecd62e77ceb6fdcb82af31358,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Emotion"",""value"":""Smile""}]"
248,2958117,0x5ce155dc9ca16abff5a8b07012a6ae4ebfdfc9738d416a33538da6cc7173a26c,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Ears"",""value"":""Earring""},{""trait_type"":""Eyes"",""value"":""Blue Eye Shadow""},{""trait_type"":""Eyes"",""value"":""Welding Goggles""},{""trait_type"":""Hair"",""value"":""Pigtails""},{""trait_type"":""Lips"",""value"":""Hot Lipstick""},{""trait_type"":""Neck"",""value"":""Silver Chain""},{""trait_type"":""Cheeks"",""value"":""Rosy Cheeks""}]"
247,2958086,0xd36666bb895208918591994e8ed9f7ab82d0010a73c89fffcc161c3bc5720900,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Vr""},{""trait_type"":""Hair"",""value"":""Wild Blonde""},{""trait_type"":""Hair"",""value"":""Bandana""},{""trait_type"":""Nose"",""value"":""Clown Nose""},{""trait_type"":""Lips"",""value"":""Purple Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""}]"
246,2958053,0x69d84e1d34f13d1c9a53ca6e86b3bf90c14a0080f0aa9049470ed00ec2729abd,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Purple Eye Shadow""},{""trait_type"":""Hair"",""value"":""Wild White Hair""},{""trait_type"":""Hair"",""value"":""Tiara""},{""trait_type"":""Lips"",""value"":""Black Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""}]"
245,2958141,0xde1268f720a1e5c2b4f74ca3cc6831899ffd17835a03d154777b7ee513519f0a,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Green Eye Shadow""},{""trait_type"":""Hair"",""value"":""Pigtails""},{""trait_type"":""Hair"",""value"":""Tiara""},{""trait_type"":""Lips"",""value"":""Hot Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""},{""trait_type"":""Cheeks"",""value"":""Rosy Cheeks""}]"
244,2957904,0xde3b44c714ffef78863013305402861ebbaab61cdaefa16fb63aad6594f044a6,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Green Eye Shadow""},{""trait_type"":""Hair"",""value"":""Orange Side""},{""trait_type"":""Hair"",""value"":""Tiara""},{""trait_type"":""Lips"",""value"":""Black Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""}]"
243,2957794,0x41f868f6bacf89e060177ca652e3d761a7de72f08cd1469bd0cead1bb80e2b15,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Purple Eye Shadow""},{""trait_type"":""Hair"",""value"":""Half Shaved""},{""trait_type"":""Hair"",""value"":""Headband""},{""trait_type"":""Face"",""value"":""Spots""},{""trait_type"":""Lips"",""value"":""Black Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""},{""trait_type"":""Cheeks"",""value"":""Rosy Cheeks""}]"
242,2957753,0xb299aa3eda777b60d47ab7a79c3695d5509b0b806ef78c35d97798f0265ff26b,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Vr""},{""trait_type"":""Hair"",""value"":""Tassle Hat""},{""trait_type"":""Face"",""value"":""Spots""},{""trait_type"":""Nose"",""value"":""Clown Nose""},{""trait_type"":""Lips"",""value"":""Purple Lipstick""},{""trait_type"":""Neck"",""value"":""Gold Chain""}]"
241,2957704,0x71123afd621b2b06eaabca8ed7705601e7c50af1e2ea9cc10726dce2332d43f0,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Vr""},{""trait_type"":""Hair"",""value"":""Pink With Hat""},{""trait_type"":""Hair"",""value"":""Bandana""},{""trait_type"":""Lips"",""value"":""Purple Lipstick""}]"
240,2957656,0xac8dc2541c6fc1907380a56840d2dc2027f6e15c8db27a3aadc960d12649419d,"[{""trait_type"":""Sex"",""value"":""Female""},{""trait_type"":""Eyes"",""value"":""Purple Eye Shadow""},{""trait_type"":""Hair"",""value"":""Wild Blonde""},{""trait_type"":""Hair"",""value"":""Tiara""},{""trait_type"":""Neck"",""value"":""Gold Chain""}]"
