token_id,ethscription_number,ethscription_id,attributes
2022,1360942,0xebd180db8ddf9b14d92ae26bf9f40e284a6d9efbf2423d46d659b63a323c245f,"[{""trait_type"":""1 of 1"",""value"":""Golden Hoodie""}]"
2021,1360960,0x5b2e982d47fdb19d9237a8a8f34097f89e2848c027e8b052528617c55e4f3afa,"[{""trait_type"":""1 of 1"",""value"":""In the Clouds""}]"
2020,1360991,0x2604412d2ac4dc160547e92f572ac8c7b914962c3e29f5f879662cbc29e51335,"[{""trait_type"":""1 of 1"",""value"":""Books""}]"
2019,1361009,0x584356194a25453c054069cb20f82cf4aa738d9e051748eb7b2dab68dfc80bc2,"[{""trait_type"":""1 of 1"",""value"":""Nerd is the Word""}]"
2018,1361042,0x54b7f4f5f6c7a64cdec67a27f4d991f053f11e8331cd7e178beaf7f068b8ef02,"[{""trait_type"":""1 of 1"",""value"":""Penny""}]"
2017,1361769,0xd0596b93a6259a520a687b8051b853db18a7ede0b922bac7189c52796470557f,"[{""trait_type"":""Glasses"",""value"":""Blue Rectangular Glasses ""},{""trait_type"":""Hair"",""value"":""Red Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Yellow Tie ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Cyan Background ""}]"
2016,1361742,0xc4f694c59ce2ad7af7e07cf05c3a57b6f69e7c63cc4e3ca0a0d6144b364b1a86,"[{""trait_type"":""Glasses"",""value"":""No Glasses ""},{""trait_type"":""Hair"",""value"":""Brown Short Hair ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Red Tie ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Purple Background ""}]"
2015,1361739,0xc7d15c72895603c215d74bf53d4e245fbe0546aed32dc802027f23709b1738e1,"[{""trait_type"":""Glasses"",""value"":""No Glasses ""},{""trait_type"":""Hair"",""value"":""Brown Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Big teeth ""},{""trait_type"":""Clothes"",""value"":""Blue Tie ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Blue Background ""}]"
2014,1361732,0x66c848468bf5a07a55cc3b540a9788bd4c04b61415b463a4c6b13d894c41c456,"[{""trait_type"":""Glasses"",""value"":""Red Rectangular Glasses""},{""trait_type"":""Hair"",""value"":""Brown Quiff Haircut""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Green Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Blue Background ""}]"
2013,1361726,0xfa4f240167f920c1ee21058111596c3a2c7846bad04f5a02529a430c7cd9c7c9,"[{""trait_type"":""Glasses"",""value"":""No Glasses ""},{""trait_type"":""Hair"",""value"":""Blonde Short Hair ""},{""trait_type"":""Mouth"",""value"":""Smile""},{""trait_type"":""Clothes"",""value"":""Red Tie""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Blue Background ""}]"
2012,1361711,0x771feded446ac0c8077c21d946841d538f114097e65b1fab70e26bb732e0e7a4,"[{""trait_type"":""Glasses"",""value"":""Blue Round Glasses""},{""trait_type"":""Hair"",""value"":""Brown Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Blue T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Yellow Background ""}]"
2011,1361699,0x61c6c1664ddc8173ffd83bb33cc0faff66042d4243003d3f29fe00bcf7c81391,"[{""trait_type"":""Glasses"",""value"":""Green Rectangular Glasse""},{""trait_type"":""Hair"",""value"":""Black Bowl cut ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Green T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Cyan Background ""}]"
2010,1361690,0xfa32901e70c03ab7d6d04eec0fd3d3f645cef162bd5ee5a6fccd76a3c7af2f14,"[{""trait_type"":""Glasses"",""value"":""Blue Round Glasses ""},{""trait_type"":""Hair"",""value"":""Brown Short Hair ""},{""trait_type"":""Mouth"",""value"":""Smile ""},{""trait_type"":""Clothes"",""value"":""Red Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Purple Background""}]"
2009,1361683,0xc020bfea7d34f7540dd7425399292ce86f68ca3ed94db3bf5ddcf0a453bf2bac,"[{""trait_type"":""Glasses"",""value"":""Yellow Rectangular Glasses ""},{""trait_type"":""Hair"",""value"":""Yellow Hair ""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Red T-Shirt ""},{""trait_type"":""Nerd"",""value"":""Fat Nerd ""},{""trait_type"":""Background"",""value"":""Red Background""}]"
2008,1361681,0xc57a92f64217f2e353eece0e7a19a4aafe02f0bea9f0f72a8d5de348ae01e749,"[{""trait_type"":""Glasses"",""value"":""Blue Rectagular Glasses""},{""trait_type"":""Hair"",""value"":""Red Messy Hair ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Red Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Green Background ""}]"
2007,1361671,0x128e4955e877a626303c2f396b1d4d27c259afeb7bb86fafdfcabcb34acb2736,"[{""trait_type"":""Glasses"",""value"":""Yellow Rectangular Glasses ""},{""trait_type"":""Hair"",""value"":""Black Quiff Haircut ""},{""trait_type"":""Mouth"",""value"":""Braces ""},{""trait_type"":""Clothes"",""value"":""Green Shirt ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Green Background ""}]"
2006,1361661,0xfe77b77f09dbbb2e9aa10bb4fb81c29579217bd4cd4cf7f1d92860ec5154dcd6,"[{""trait_type"":""Glasses"",""value"":""Black Rectangular Glasses""},{""trait_type"":""Hair"",""value"":""Black Bowl cut ""},{""trait_type"":""Mouth"",""value"":""Big Teeth ""},{""trait_type"":""Clothes"",""value"":""Blue Tie ""},{""trait_type"":""Nerd"",""value"":""Skinny Nerd ""},{""trait_type"":""Background"",""value"":""Yellow Background ""}]"
