token_id,ethscription_number,ethscription_id,attributes
279,4104043,0xa563765c3e1756e15271d7028d4a1118618e74b0e705720e5cab3ad86f035c0c,"[{""trait_type"":""Background"",""value"":""Teal""},{""trait_type"":""Hat"",""value"":""Black & Red Snapback""},{""trait_type"":""Eyes"",""value"":""Welding Goggles""},{""trait_type"":""Mouth"",""value"":""Knife""},{""trait_type"":""Necklace"",""value"":""Mala""},{""trait_type"":""Facial Hair"",""value"":""Pencil Stache""},{""trait_type"":""Accessory"",""value"":""Cannabis Plant""},{""trait_type"":""Weapon"",""value"":""Wizard Staff""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""Black Hoodie""},{""trait_type"":""Wings"",""value"":""Demon Wings""}]"
278,4102865,0x1c7cc1ea7b904b391f1b1efefaa702abb49a6e4eb9c7cd1372ee6d79a06be98c,"[{""trait_type"":""Background"",""value"":""Purple""},{""trait_type"":""Hair"",""value"":""Long Magenta Mohawk""},{""trait_type"":""Eyes"",""value"":""Angry Eyes""},{""trait_type"":""Mouth"",""value"":""Kissy Face""},{""trait_type"":""Accessory"",""value"":""FUCK OFF!""},{""trait_type"":""Weapon"",""value"":""Sawed-Off Shotgun""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Heart T-Shirt""}]"
277,4102861,0xaa06ed2901efc0a0d5808590f263ef0d492ecfc5dfb8a76837661c4314ca1433,"[{""trait_type"":""Background"",""value"":""Teal""},{""trait_type"":""Hair"",""value"":""Long Black Curly""},{""trait_type"":""Eyes"",""value"":""Round Glasses""},{""trait_type"":""Mouth"",""value"":""Silly Tongue""},{""trait_type"":""Necklace"",""value"":""Lady Gold Crucifix""},{""trait_type"":""Accessory"",""value"":""Joint""},{""trait_type"":""Weapon"",""value"":""Fist w/ Watch""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""#TitsOutForPepe""},{""trait_type"":""Wings"",""value"":""Demon Wings""}]"
276,4102858,0x079fe836f75c6f47bf5956f7a42307ac5dae2be9f7fc16085a9773a202fcc011,"[{""trait_type"":""Background"",""value"":""Breaking-the-Matrix""},{""trait_type"":""Hat"",""value"":""Airbender Symbol""},{""trait_type"":""Eyes"",""value"":""Pirate Eyepatch""},{""trait_type"":""Mouth"",""value"":""Blunt w/ Lipstick""},{""trait_type"":""Necklace"",""value"":""Mala""},{""trait_type"":""Accessory"",""value"":""Platypus""},{""trait_type"":""Weapon"",""value"":""Bowie Knife""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Little Black Dress""}]"
275,4102205,0x7b47c854670bd2de883285c6643d10208af77a5a5d25f0b10146f9922ad17490,"[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""Hair"",""value"":""Red-Pigtails""},{""trait_type"":""Eyes"",""value"":""Pit Vipers""},{""trait_type"":""Mouth"",""value"":""Kissy Face""},{""trait_type"":""Necklace"",""value"":""Diamond Necklace""},{""trait_type"":""Accessory"",""value"":""Mickey Mouse""},{""trait_type"":""Weapon"",""value"":""FUCK OFF!!""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Monk Robe""}]"
274,4102201,0x8aa4d7a79f603cb523f29abb7a973172c841b4f685b296e6e38047a46c90ee8d,"[{""trait_type"":""Background"",""value"":""Light Grey""},{""trait_type"":""Hair"",""value"":""Black Pigtails""},{""trait_type"":""Eyes"",""value"":""Nouns Noggles""},{""trait_type"":""Mouth"",""value"":""Toothy Grin""},{""trait_type"":""Necklace"",""value"":""Diamond Necklace""},{""trait_type"":""Accessory"",""value"":""Grey Cat""},{""trait_type"":""Weapon"",""value"":""Magic""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""#TitsOutForPepe""},{""trait_type"":""Wings"",""value"":""Angel Wings""}]"
273,4102196,0xaf4f9f8173a7b4b5e69969a61287029de8e3b8d8ae23537fc5d4ff10e013413b,"[{""trait_type"":""Background"",""value"":""Cotton Candy Gradient""},{""trait_type"":""Hair"",""value"":""Long Black Curly""},{""trait_type"":""Eyes"",""value"":""Night Vision Goggles""},{""trait_type"":""Mouth"",""value"":""Confused""},{""trait_type"":""Facial Hair"",""value"":""Soul Patch""},{""trait_type"":""Accessory"",""value"":""Puzzle Piece""},{""trait_type"":""Weapon"",""value"":""Uzi""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Bomber Jacket""}]"
272,4102190,0xdd6de8f86b28bacf3f5138979aa1887f7f0ecd3a9db283426e7aa96ae1ad6ac1,"[{""trait_type"":""Background"",""value"":""Lime Green""},{""trait_type"":""Hat"",""value"":""Piggy Banksy Ears""},{""trait_type"":""Eyes"",""value"":""Pink Eyeshadow""},{""trait_type"":""Mouth"",""value"":""Tongue Out""},{""trait_type"":""Accessory"",""value"":""Frog""},{""trait_type"":""Weapon"",""value"":""Dynamite Sticks w: Wristbands""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""Lady Naked Pepe""},{""trait_type"":""Wings"",""value"":""Demon Wings""}]"
271,4102189,0xa684cf4a17a08f218b59df110b65b2d3ac158f37eee2383d16d941ce4b4f94a3,"[{""trait_type"":""Background"",""value"":""Outer Space""},{""trait_type"":""Hair"",""value"":""Long Brown Wavy""},{""trait_type"":""Eyes"",""value"":""Sleepy Eyes""},{""trait_type"":""Mouth"",""value"":""Cannabis Leaf""},{""trait_type"":""Necklace"",""value"":""Lady Gold Crucifix""},{""trait_type"":""Accessory"",""value"":""Cigarette""},{""trait_type"":""Weapon"",""value"":""Fist w/ Watch""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""#TitsOutForPepe""},{""trait_type"":""Wings"",""value"":""Demon Wings""}]"
270,4102188,0xde52cb1584734637ec2923008abbe70e4cb3f824b268e19e544b9fe0e3ce0c16,"[{""trait_type"":""Background"",""value"":""Grey""},{""trait_type"":""Hat"",""value"":""Golden Headphones""},{""trait_type"":""Eyes"",""value"":""Nouns Noggles""},{""trait_type"":""Mouth"",""value"":""Silly Tongue""},{""trait_type"":""Necklace"",""value"":""Gold Crucifix""},{""trait_type"":""Accessory"",""value"":""Ethereum""},{""trait_type"":""Weapon"",""value"":""Magic""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Lady Pirate Outfit""}]"
269,4102167,0xd803680ddf29d3997b9f6faa70389d80a325124e9c8b13b478421c2f0a2b28a2,"[{""trait_type"":""Background"",""value"":""Ethscriptions Green""},{""trait_type"":""Hair"",""value"":""Long Black Curly""},{""trait_type"":""Eyes"",""value"":""Pink Eyeshadow""},{""trait_type"":""Mouth"",""value"":""Kissy Face""},{""trait_type"":""Necklace"",""value"":""Barbed ""},{""trait_type"":""Accessory"",""value"":""White Rabbit""},{""trait_type"":""Weapon"",""value"":""Lucille""},{""trait_type"":""Class"",""value"":""Rare""},{""trait_type"":""Clothing"",""value"":""Blue Hoodie""},{""trait_type"":""Wings"",""value"":""Angel Wings""}]"
268,4102165,0x98d15a7e3600beba4e20575756ebcd7cfb57e2a7d8fee0ba6c50fb9fd1438dcf,"[{""trait_type"":""Background"",""value"":""Sunset Gradient""},{""trait_type"":""Hair"",""value"":""Red-Pigtails""},{""trait_type"":""Eyes"",""value"":""Cat Eyes""},{""trait_type"":""Mouth"",""value"":""Kissy Face""},{""trait_type"":""Necklace"",""value"":""Crystal Necklace""},{""trait_type"":""Accessory"",""value"":""Gold Bricks""},{""trait_type"":""Weapon"",""value"":""Sword in the Stone""},{""trait_type"":""Class"",""value"":""Uncommon""},{""trait_type"":""Clothing"",""value"":""Lady Pirate Outfit""}]"
