token_id,ethscription_number,ethscription_id,attributes
68,152827,0xa7caa6de66dfa0e94b16c348a0065afd9ef84cca581f8b371fd895e3a876d8df,"[]"
67,152660,0x2289553137d1c5893817c2a72405509dc830f5aac89d56113b31a51472d75903,"[]"
66,152585,0x7084a1879d1a2912de6dd343a85acfe3a6c34c5227878bac24c8ed242ec67d44,"[]"
65,152518,0xea19a849b7f576de161224c57a2cf29004469754871878802ccd02563f8b0cc4,"[]"
64,152459,0x1e9d8c26dd641be691e0a7e46ca32af2c552a07e44ecb672f25ae0175e735e02,"[]"
63,152386,0xad95f4a9509c4613d7b7d5e85c78e7b93c2bfadc456a468f8f3c5dcc650fb68a,"[]"
62,152351,0x7071e951537289ae612f1a98dfb0923d79b000584eb02223378d804ec53b3d3b,"[]"
61,152267,0x45675c37609488a20c459e1a897150fa6a3bab7ba43c62a66d529cea68be0795,"[]"
60,152095,0x12c3fab01f07a9f9668fbf9c7604bc1072cc889780976615895e5cca86a45eb3,"[]"
59,152052,0xf7a8431cbd7e2dbfa70dcfa297fdaa8add17d8f329fb95ae830c944548ae8a51,"[]"
58,152000,0x25b423ad4d97d76223744c2771d142a711802a0a673e14a9215c38a931eee235,"[]"
57,151960,0xc6b934cf99839c40f68d7add2b325a55eee8907f622267a85a614131aaf99efd,"[]"
55,151840,0xa03ecd3ad6db1ee3e27468827b9f2b17473da9598bb89db56ebf479b532ae17d,"[]"
54,151749,0x59fb4eb54aac00e9169f2b97334cbc3130cb1ecd907c85a2eff329fdeec02e58,"[]"
53,151099,0xb8c90308cd11ee564e960cf6811615f8c6eea1d5c200c65b7f75ec9d64c0bca5,"[]"
52,150828,0x1ea6f0c859181502c5415659c322471568a2910a3d85968cf24bb48e7ea730d6,"[]"
51,150769,0x1ce370eb1938a484bf18c514cc10e42b8c5b2b5331081a7ab81015eccd29a972,"[]"
50,150734,0x775141f4dcb307ddf793f7cce20d6ee2d7143aa55de622612941319897205ebf,"[]"
49,150615,0x246dca9a54678f75199eb7d8ad8abb5ab93272c2afd8136e0025f691bb43e1a0,"[]"
