token_id,ethscription_number,ethscription_id,attributes
1168,5565509,0xe510ba7ff0aa547900414f44447218e194d0e2759bb66202efe2d62acb3e726b,"[{""trait_type"":""Background"",""value"":""green""},{""trait_type"":""Body"",""value"":""Dusty Pink""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Spots"",""value"":""Spots 3""},{""trait_type"":""Tail"",""value"":""Tail 1""},{""trait_type"":""Head Accessory"",""value"":""White Beanie""},{""trait_type"":""Eyes"",""value"":""Deal With It""}]"
1167,5564962,0x7bbcf285056c2c9e825df927ad24038df4855d4cbf7d0f6ed897c137c7f48fc4,"[{""trait_type"":""Background"",""value"":""Pink""},{""trait_type"":""Body"",""value"":""Purp""},{""trait_type"":""Snout"",""value"":""Snout Wide""},{""trait_type"":""Spots"",""value"":""Spots 3""},{""trait_type"":""Tail"",""value"":""Tail 2""},{""trait_type"":""Eyes"",""value"":""Orange""}]"
1166,5565912,0x54d95ccfca7e9df74f72df0e7af514b4be0d2aa4b90363b4faf5c3ebde1a69a5,"[{""trait_type"":""Background"",""value"":""Grey 2""},{""trait_type"":""Body"",""value"":""Pink""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Tail"",""value"":""Tail 3""},{""trait_type"":""Head Accessory"",""value"":""Cap Back Red""},{""trait_type"":""Eyes"",""value"":""3D""},{""trait_type"":""Socks"",""value"":""White Socks""}]"
1165,5566597,0x5a7ea65d1cc27b30d1700530657e2af3d81a9ccb6dfdbf5045b5346d2573f8e6,"[{""trait_type"":""Background"",""value"":""purple""},{""trait_type"":""Body"",""value"":""Bot""},{""trait_type"":""Snout"",""value"":""Snout Snot""},{""trait_type"":""Tail"",""value"":""Tail 1""},{""trait_type"":""Head Accessory"",""value"":""Orange Beanie""},{""trait_type"":""Eyes"",""value"":""Blue""}]"
1164,5564991,0x3955aa530db8fc051be7150e38fef0c0a76c5c69658bcc223beddb8665f68ff1,"[{""trait_type"":""Background"",""value"":""Rose""},{""trait_type"":""Body"",""value"":""Zombie""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Spots"",""value"":""Spots 3""},{""trait_type"":""Tail"",""value"":""Tail 1""},{""trait_type"":""Head Accessory"",""value"":""Skateboard Cat""},{""trait_type"":""Eyes"",""value"":""Orange""},{""trait_type"":""Accessory"",""value"":""SkateBoard""}]"
1163,5565931,0xaaaae3827283181d415a0b676949a7e339a26275104f6326b17722a61540edfd,"[{""trait_type"":""Background"",""value"":""Brown""},{""trait_type"":""Body"",""value"":""Pink""},{""trait_type"":""Snout"",""value"":""Snout Wide""},{""trait_type"":""Tail"",""value"":""Tail 1""},{""trait_type"":""Head Accessory"",""value"":""Pepe""},{""trait_type"":""Eyes"",""value"":""Green""},{""trait_type"":""Socks"",""value"":""Grandpa Socks""}]"
1162,5565023,0x5b27b97be855c970132af2ba31122106a6e9ee0a0f56a3599d3aff2c313170c7,"[{""trait_type"":""Background"",""value"":""green""},{""trait_type"":""Body"",""value"":""Pink""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Spots"",""value"":""Spots 3""},{""trait_type"":""Tail"",""value"":""Tail 3""},{""trait_type"":""Head Accessory"",""value"":""Skateboard Cat""},{""trait_type"":""Eyes"",""value"":""Blue""},{""trait_type"":""Accessory"",""value"":""Mud Pit""}]"
1161,5569290,0x9e4ef2039e33fbe9f2dc9eceac19017b4d73204cd7e83adcc496d65546ec9ff4,"[{""trait_type"":""Background"",""value"":""green""},{""trait_type"":""Body"",""value"":""Bot""},{""trait_type"":""Snout"",""value"":""Snout Wide""},{""trait_type"":""Tail"",""value"":""Tail 3""},{""trait_type"":""Head Accessory"",""value"":""Grey Spinner""},{""trait_type"":""Eyes"",""value"":""Blue""}]"
1160,5565930,0x4ffd53d4df9a43d55f53270af8621dc4b7096cc5dc44b2544ea0825baa1d5853,"[{""trait_type"":""Background"",""value"":""Pink""},{""trait_type"":""Body"",""value"":""Dusty Pink""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Spots"",""value"":""Spots 1""},{""trait_type"":""Head Accessory"",""value"":""Pepe""},{""trait_type"":""Eyes"",""value"":""Viper""}]"
1159,5565650,0x6e454651fbdce7d5d9a97e182a16efa52036039a89fe575b705247198e9d9c37,"[{""trait_type"":""Background"",""value"":""Rose""},{""trait_type"":""Body"",""value"":""Pink""},{""trait_type"":""Snout"",""value"":""Regular Snout""},{""trait_type"":""Spots"",""value"":""Spots 2""},{""trait_type"":""Tail"",""value"":""Tail 3""},{""trait_type"":""Head Accessory"",""value"":""Pepe""},{""trait_type"":""Eyes"",""value"":""Viper""}]"
