token_id,ethscription_number,ethscription_id,attributes
399,6296764,0xe7c98f94fe8c9ec5e3d2fdda88ab455f104880e9e7ba7bd786860e90adccb477,"[{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""fur"",""value"":""Frankie""},{""trait_type"":""clothing"",""value"":""Space Suit""}]"
398,6296763,0x06948b251d36ed7a997ed2ea4578ab3f5300d25e48adfe57861bb0bc84a521c5,"[{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""fur"",""value"":""Skelly""},{""trait_type"":""clothing"",""value"":""Tie Dye Tee""},{""trait_type"":""hat"",""value"":""Vr Headset""}]"
397,6296762,0x6e07c0f537fa5d45545ceeee8c6315e61ff817de2387efa255c32d5d50e670c5,"[{""trait_type"":""eyewear"",""value"":""Red Noggles""},{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""fur"",""value"":""Zombie_fur""},{""trait_type"":""clothing"",""value"":""Office Shirt""}]"
396,6296761,0x11980ade66592927b88062bed64d392a9e97874ba677f84377ebb714d781c94a,"[{""trait_type"":""eyewear"",""value"":""Bitcoin Maxi""},{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""fur"",""value"":""Zombie_fur""}]"
395,6296760,0x36e56250b443bf7a060f41cb6d2bf3257f4104304545cd5d6d2c785574c32f58,"[{""trait_type"":""eyewear"",""value"":""Viper Glasses""},{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""fur"",""value"":""Zombie_fur""},{""trait_type"":""clothing"",""value"":""Blue Tracksuit""}]"
394,6296759,0x6b479bd777be0b22473b2024c278aee9050eeacdbdaede9516e5a41f59f0d8c6,"[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""fur"",""value"":""Zombie_fur""}]"
393,6296758,0x6297710eeb43fc215f445d3884b746ea7753616b6c89c649fe6f38f52503ad70,"[{""trait_type"":""Background"",""value"":""Spookypurple""},{""trait_type"":""fur"",""value"":""Skelly""},{""trait_type"":""clothing"",""value"":""Red Tee""}]"
392,6296757,0x68a03abc382d29533ffdffb191722053daf70da5171a536ae4ce858928c609d4,"[{""trait_type"":""eyewear"",""value"":""Red Noggles""},{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""fur"",""value"":""Siamese""},{""trait_type"":""hat"",""value"":""Witch Hat""},{""trait_type"":""mouth"",""value"":""Bubble Gum""},{""trait_type"":""eye_color"",""value"":""yellow""}]"
391,6296756,0x72e5b3ad43e45b0b729f2f1b1d5294c8be74cb9d89506b8462af6575ad3e8e8e,"[{""trait_type"":""Background"",""value"":""Spookypurple""},{""trait_type"":""fur"",""value"":""Zombie_fur""},{""trait_type"":""clothing"",""value"":""Blue Tracksuit""}]"
390,6296755,0x23c1f5a614dc262b8ba41dc58b649b21f500dde326dc08022eb8437c621897f2,"[{""trait_type"":""eyewear"",""value"":""Blue Noggles""},{""trait_type"":""Background"",""value"":""Orange""},{""trait_type"":""fur"",""value"":""Zombie_fur""}]"
389,6296754,0x1ebcccd15810ab895dcd8e31dcc908af4277f412dc731cc454c1376bf1c75bfb,"[{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""fur"",""value"":""Cool Blue""},{""trait_type"":""clothing"",""value"":""Red Tracksuit""},{""trait_type"":""hat"",""value"":""Witch Hat""},{""trait_type"":""mouth"",""value"":""Yawn""},{""trait_type"":""eye_color"",""value"":""Green""}]"
388,6296753,0x640d5efac22ab0ca699501b77dd3b82f3b2c1b804b5f381c97e32dc89092e4a7,"[{""trait_type"":""eyewear"",""value"":""Red Noggles""},{""trait_type"":""Background"",""value"":""Spookypurple""},{""trait_type"":""fur"",""value"":""Zombie_fur""},{""trait_type"":""clothing"",""value"":""Fashion Hoodie""}]"
