token_id,ethscription_number,ethscription_id,attributes
150,11889,0x5c63ff1fc8f5dc8f304981cc132b9cf22890382a48bbde19587ba664e667468b,"[{""trait_type"":""pokedexId"",""value"":""151""}]"
149,11887,0x244b178107a585a72f2d86f3bc152e48a05ea42b8fd7330a46aa33c1bbf607f0,"[{""trait_type"":""pokedexId"",""value"":""150""}]"
148,11885,0x32133d7f1738ad144be345fad80b084dbf34356a4527324d3559d4ecb3b3effb,"[{""trait_type"":""pokedexId"",""value"":""149""}]"
147,11884,0xad7cdd760dc9d1817fd87ad2f7f7d0a588e37d46252740512e01a8f4b6e921bf,"[{""trait_type"":""pokedexId"",""value"":""148""}]"
146,11881,0xbbd69af8e11320a24fdf9b39160ca35445b539e847bf60eaa9e4bbe06ab01c40,"[{""trait_type"":""pokedexId"",""value"":""147""}]"
145,11880,0x248596fa9ad4708de27782d29a4d6218e05ac36938b33c85abd6f2b722ed1a7b,"[{""trait_type"":""pokedexId"",""value"":""146""}]"
144,11879,0x4f6a598f0d7ccbaf75936b8ebc694273243dce83e177415f8ad7b28ab58aee04,"[{""trait_type"":""pokedexId"",""value"":""145""}]"
143,11877,0x36feac9d2182087ab1872f9a664a975758ffa4cc4d43c12d1a3dd143ff128ea3,"[{""trait_type"":""pokedexId"",""value"":""144""}]"
142,11876,0xec1c4b9ddae3d83cb5d48f383560d445211c69d9ae6319e7c0588a25844532ce,"[{""trait_type"":""pokedexId"",""value"":""143""}]"
141,11875,0x6ba1629d7a5d9e2de63fa0d26e4d4ab27d9028c08ac55b4f18cff277afee20b0,"[{""trait_type"":""pokedexId"",""value"":""142""}]"
140,11874,0xc48c6b6df5e53c4a08ad05284c5f494e162f496350a8e447b2cc4ae60c842e88,"[{""trait_type"":""pokedexId"",""value"":""141""}]"
139,11873,0x93fa139db00b1be8e397306d93393976e40c4a376ad8ca7e9edeb8581d26b202,"[{""trait_type"":""pokedexId"",""value"":""140""}]"
138,11872,0x063ba79118ef93772a15ce1ba38c76926d8a0c40b0bc446324e2c02607fca6fb,"[{""trait_type"":""pokedexId"",""value"":""139""}]"
137,11870,0x379a530269a0e9cc10e74c0cf7eeb240f4fda28ed79267ec8cf6079121a65d00,"[{""trait_type"":""pokedexId"",""value"":""138""}]"
136,11868,0x5b20ee0c52c02e94dc0612601e756fe28ea52d7c540854d23b14add149220dcd,"[{""trait_type"":""pokedexId"",""value"":""137""}]"
135,11867,0x6b2a1196b265c30f72a3e663ba87b24aadf2f37c08b8f53a83fcc0d4e13b06c0,"[{""trait_type"":""pokedexId"",""value"":""136""}]"
134,11866,0xe7bf5bc1d2827edb4ff6dc4df041eafe67ab906587ee6c9f50740163f4ffc275,"[{""trait_type"":""pokedexId"",""value"":""135""}]"
133,11865,0xe05266c8e2d06632783f8881b667f64410d749ea8d5134fcc1a0f71404b1b07c,"[{""trait_type"":""pokedexId"",""value"":""134""}]"
132,11862,0xb8e25d5dcd02a843c2ecfc76c0c49e702505563d143b497a1d6ba58025f537dd,"[{""trait_type"":""pokedexId"",""value"":""133""}]"
131,11861,0x590bd2d70d4272311076d1d52516173ccbd80801ff9b171c8081cb76ce26bbba,"[{""trait_type"":""pokedexId"",""value"":""132""}]"
130,11860,0x21454ebec35385ee800a925513bfa57d2411feeca4f047f93a384696438c9775,"[{""trait_type"":""pokedexId"",""value"":""131""}]"
129,11858,0x53b523f6bfe40139d366f3a994709f089a4e54adc853ca6e6e0baad56a9f4f60,"[{""trait_type"":""pokedexId"",""value"":""130""}]"
128,11857,0x932c26686d81caca3fa81547eeab7246f5b9b62ce442c3f6249264a4c50d09d6,"[{""trait_type"":""pokedexId"",""value"":""129""}]"
127,11855,0xe726698fa5cca8f820db77d2533196bce7325125eb2819b091c4e05fa26567c0,"[{""trait_type"":""pokedexId"",""value"":""128""}]"
126,11854,0x974f56cf08dce3984b92d3cb8a258453f24cf0b22ff29c16c6ad394e82e4b4af,"[{""trait_type"":""pokedexId"",""value"":""127""}]"
125,11853,0xc6ed9caea7f586873ff291f5d557f107fc070be1f54f8d4294e2141474126d15,"[{""trait_type"":""pokedexId"",""value"":""126""}]"
124,11852,0xbf0fc0759c0e0e39b1f1fa5a31f2eff30f6bf78444c1fb99a8d83153693d0d9f,"[{""trait_type"":""pokedexId"",""value"":""125""}]"
123,11850,0x1bccea64b581eb15ecfb789e8db36fd52953ebd33da74e318b13e77f25c2a19c,"[{""trait_type"":""pokedexId"",""value"":""124""}]"
122,11849,0xd2739f0e2c1ca803d8319b6d42590a95507731c3fcfabc04b03c72846181a4d0,"[{""trait_type"":""pokedexId"",""value"":""123""}]"
121,11848,0x7c64ab32ea4d18c447eeb1594140669e0e6c0d2b8b63bf2b6ecf300dfe095f0e,"[{""trait_type"":""pokedexId"",""value"":""122""}]"
120,11846,0xc1853300fc420c2b2e6ccf478619165a4129b9963fa88213ee742df65dce5a6f,"[{""trait_type"":""pokedexId"",""value"":""121""}]"
119,11845,0x85fcc799301e2470dda9604cd25948420299cc72fae1a8ff6090cfa6bf8e7639,"[{""trait_type"":""pokedexId"",""value"":""120""}]"
118,11843,0xba55ad8a8150bd2914f0df1ebb0678ea43593c4bf182863d9b65c82c0077a11b,"[{""trait_type"":""pokedexId"",""value"":""119""}]"
117,11842,0x137e9ce764dc656a91e031ec6edadab99f06c0100859c415f36562784046ce63,"[{""trait_type"":""pokedexId"",""value"":""118""}]"
116,11839,0x1cb9961db9fccdf9e15949ad1e56993cc81bfd0912ec74673dd57b2fa018ffe3,"[{""trait_type"":""pokedexId"",""value"":""117""}]"
115,11838,0x905d5460ea795e9299ed46399faacc6848576f3b76fefb889167c958448119b9,"[{""trait_type"":""pokedexId"",""value"":""116""}]"
114,11835,0xded254d552389abe6f381fb4fdf3c8f62026af64b3c8f07d0dc5dbb32a4240e6,"[{""trait_type"":""pokedexId"",""value"":""115""}]"
113,11833,0xca247ae5920ca9060e5d3796a6b07adc5517294f6b095fb6553430e1c19f354a,"[{""trait_type"":""pokedexId"",""value"":""114""}]"
112,11832,0x8df5922d428807111b21e28f34955148681ec4bf6d83f21ec760dc90a7cfe0bb,"[{""trait_type"":""pokedexId"",""value"":""113""}]"
111,11830,0xb845c9e9f6ec79f760533636afdf29ebb6d31bc1a725803bda52c05fbfe967a9,"[{""trait_type"":""pokedexId"",""value"":""112""}]"
110,11828,0xa27378312ad8ce384d1b4f71cdfd14c44c5a88f11676272072ba7ea5b7aa3aa3,"[{""trait_type"":""pokedexId"",""value"":""111""}]"
109,11827,0x28e817b8f0f9b9c7f520c55f7f47a718add9815abf4496ed86351ea17eb15d1f,"[{""trait_type"":""pokedexId"",""value"":""110""}]"
108,11826,0x64e0c4ca5ec9ff787f41fe320158d791d93138c2cb3f80ff8a21339cb07a97a5,"[{""trait_type"":""pokedexId"",""value"":""109""}]"
107,11825,0x7f816a62a20acb9f18be09970e3163749fe60123e73331682aa55ebcb3b27405,"[{""trait_type"":""pokedexId"",""value"":""108""}]"
106,11824,0x1f1e656b4f4ba3acd87e710354f62d6718e7f24cdc26fa2cb4d994a188303f03,"[{""trait_type"":""pokedexId"",""value"":""107""}]"
105,11822,0xb520c52be4a208bcf7ad30e9b51a5b5fcbf89b55e9b1d611f3b2f3d5165e3bca,"[{""trait_type"":""pokedexId"",""value"":""106""}]"
104,11820,0xc99e1c0ec909f3c12ad83b33693d1064f50fbf3c9f0a75e20155545237e032f4,"[{""trait_type"":""pokedexId"",""value"":""105""}]"
103,11819,0xfa8d9d1239f3091a6ae843252dba183dd5cb82c51fac16ccb288642562249887,"[{""trait_type"":""pokedexId"",""value"":""104""}]"
102,11818,0xc48d9517fe79c0965ce79b99bb31f63c14abe9f6554d29b6c953f628295ca6b4,"[{""trait_type"":""pokedexId"",""value"":""103""}]"
101,11817,0xe75bfc64cddf00ea8664f3ec5e01d07611dd056f47319fdbf70fe46759a52f42,"[{""trait_type"":""pokedexId"",""value"":""102""}]"
100,11815,0x8b340b54346a8d90261c1f208809243c7defbb2c95a50252d7172e64bbc2bb8a,"[{""trait_type"":""pokedexId"",""value"":""101""}]"
